season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
21,4,Paula Deen,0.0,2.0830983962553423e-05,4.263428019926208e-05,4.263428019926208e-05
21,4,Gary Busey,0.0,2.819167114669504e-06,6.633490469103203e-06,6.633490469103203e-06
21,5,Alexa PenaVega,0.0008780398215926244,0.6930968858726851,1.0,0.9991219601784074
21,5,Carlos PenaVega,0.0003223814800386582,0.25497609505251034,0.509629808624982,0.5093074271449434
21,5,Bindi Irwin,4.27660208285191e-05,0.03450726204249697,0.06897175806416542,0.0689289920433369
21,5,Andy Grammer,1.5101420988400394e-05,0.012694512276550307,0.025373923132112213,0.025358821711123813
21,5,Nick Carter,4.9241834589848835e-06,0.004670050082241342,0.009335175981023697,0.009330251797564713
21,5,Hayes Grier,0.0,3.1466549937216886e-05,6.389192330926707e-05,6.389192330926707e-05
21,5,Alek Skarlatos,0.0,1.157589680649663e-05,2.413584389750505e-05,2.413584389750505e-05
21,5,Tamar Braxton,0.0,1.157589680649663e-05,2.413584389750505e-05,2.413584389750505e-05
21,5,Paula Deen,0.0,5.763299657243856e-07,2.1506607090588532e-06,2.1506607090588532e-06
21,6,Andy Grammer,0.0003609894262082136,0.2854173620016332,0.5704737345770582,0.57011274515085
21,6,Bindi Irwin,0.0003609894262082136,0.2854173620016332,0.5704737345770582,0.57011274515085
21,6,Tamar Braxton,0.0003609894262082136,0.2854173620016332,0.5704737345770582,0.57011274515085
21,6,Nick Carter,0.00013216926952715202,0.10499917963378809,0.209866189998049,0.20973402072852187
21,6,Carlos PenaVega,4.7991038158563815e-05,0.03862703952713785,0.07720608801611714,0.07715809697795858
21,6,Hayes Grier,0.0,9.574685830607041e-05,0.00019237101483682387,0.00019237101483682387
21,6,Alek Skarlatos,0.0,1.295792818786786e-05,2.689815386220314e-05,2.689815386220314e-05
21,6,Alexa PenaVega,0.0,1.295792818786786e-05,2.689815386220314e-05,2.689815386220314e-05
21,6,Paula Deen,0.0,3.2119492700763826e-08,1.0629299724132918e-06,1.0629299724132918e-06
21,7,Bindi Irwin,0.0004723228599314844,0.3732006064520351,0.7459288900441388,0.7454565671842073
21,7,Andy Grammer,0.00017312655090898077,0.13729283054641805,0.27441253454192716,0.2742394079910182
21,7,Hayes Grier,0.00017312655090898077,0.13729283054641805,0.27441253454192716,0.2742394079910182
21,7,Carlos PenaVega,0.00017312655090898077,0.13729283054641805,0.27441253454192716,0.2742394079910182
21,7,Alexa PenaVega,0.00010461359082425403,0.08327231108513372,0.1664400085794432,0.16633539498861893
21,7,Nick Carter,6.305837994520502e-05,0.0505072097782618,0.1009513611765784,0.10088830279663319
21,7,Tamar Braxton,6.305837994520502e-05,0.0505072097782618,0.1009513611765784,0.10088830279663319
21,7,Alek Skarlatos,3.785387047623712e-05,0.0306341712670535,0.06123048866363076,0.061192634793154524
21,8,Nick Carter,0.0012247149787514289,0.9664403825031825,1.0,0.9987752850212486
21,8,Carlos PenaVega,2.1446508481640092e-05,0.017697433212803614,0.03537341991712559,0.03535197340864395
21,8,Bindi Irwin,7.260062293818793e-06,0.0065118240750823295,0.01301638808787084,0.013009128025577021
21,8,Tamar Braxton,7.260062293818793e-06,0.0065118240750823295,0.01301638808787084,0.013009128025577021
21,8,Alexa PenaVega,2.0389012170521532e-06,0.0023950871364158137,0.004788135371614575,0.004786096470397523
21,8,Alek Skarlatos,0.0,0.0003242046304256264,0.0006489968114322931,0.0006489968114322931
21,8,Andy Grammer,0.0,0.00011924436700772559,0.00023933623089998014,0.00023933623089998014
21,9,Bindi Irwin,0.000589702953142146,0.46575146984803373,0.9309132367429254,0.9303235337897833
21,9,Alexa PenaVega,0.000589702953142146,0.46575146984803373,0.9309132367429254,0.9303235337897833
21,9,Nick Carter,4.7489015265911316e-05,0.0382312087615547,0.07641492850784348,0.07636743949257757
21,9,Carlos PenaVega,2.8410573446002035e-05,0.02318840027175718,0.04634838997006836,0.04631997939662236
21,9,Alek Skarlatos,5.563371248892834e-06,0.005174031466223073,0.010342499561197253,0.01033693618994836
21,9,Tamar Braxton,1.4153310509488603e-06,0.001903419804397602,0.0038054242777442555,0.0038040089466933064
21,10,Bindi Irwin,0.0006144018259433559,0.48522582823484584,0.9698372546437484,0.9692228528178051
21,10,Carlos PenaVega,0.0006144018259433559,0.48522582823484584,0.9698372546437484,0.9692228528178051
21,10,Alek Skarlatos,2.964025791476338e-05,0.024157971484181674,0.048286302710448585,0.04825666245253382
21,10,Nick Carter,5.837750941339349e-06,0.005390372046126658,0.010774906341311976,0.010769068590370637
21,11,Bindi Irwin,0.000403513687928847,0.31894653232231235,0.6374895509566958,0.637086037268767
21,11,Nick Carter,0.000403513687928847,0.31894653232231235,0.6374895509566958,0.637086037268767
21,11,Carlos PenaVega,0.000403513687928847,0.31894653232231235,0.6374895509566958,0.637086037268767
21,11,Alek Skarlatos,5.374059695637673e-05,0.04316040303306309,0.08626706546916979,0.08621332487221342
22,1,Wanya Morris,0.00034721767510725865,0.27455872813957466,0.5487702386040421,0.5484230209289348
22,1,Nyle DiMarco,0.00034721767510725865,0.27455872813957466,0.5487702386040421,0.5484230209289348
